DATE,YardCpu
1598013885000,38.2263692444
1598014785000,36.7552739556
1598015685000,38.1559564
1598016585000,36.9767467778
1598017485000,37.1365908
1598018385000,35.8346814667
1598019285000,37.0823056222
1598020185000,36.2634544889
1598021085000,36.0084606
1598021985000,36.5465098222
1598022885000,37.7447410444
1598023785000,36.9299050222
1598024685000,37.5184889778
1598025585000,36.7216312889
1598026485000,37.0874922222
1598027385000,36.3803907556
1598028285000,36.1879193778
1598029185000,36.0888901556
1598030085000,36.4695400889
1598030985000,35.9761176444
1598031885000,35.9473925111
1598032785000,35.7850590667
1598033685000,36.2566517556
1598034585000,35.5493360667
1598035485000,35.7701293333
1598036385000,36.4818972
1598037285000,36.4111847333
1598038185000,35.8343783111
1598039085000,35.3976477333
1598039985000,35.4389426667
1598040885000,35.8793101111
1598041785000,35.5724626889
1598042685000,35.2946859333
1598043585000,35.8301489111
1598044485000,36.6319854444
1598045385000,36.2407772667
1598046285000,35.9950857333
1598047185000,36.2708249778
1598048085000,36.9584619333
1598048985000,36.4770586444
1598049885000,36.5625026444
1598050785000,36.5767466667
1598051685000,37.8475238667
1598052585000,37.0034152
1598053485000,36.8782210222
1598054385000,36.5424513778
1598055285000,35.8311582444
1598056185000,34.5157936222
1598057085000,35.8274160667
1598057985000,34.8054084222
1598058885000,35.1077887333
1598059785000,36.6056163333
1598060685000,35.1030987556
1598061585000,34.2400411778
1598062485000,35.7691892222
1598063385000,36.3761470222
1598064285000,36.3063495778
1598065185000,36.8514847778
1598066085000,37.5835506444
1598066985000,36.7201574889
1598067885000,36.7618324
1598068785000,37.4353195778
1598069685000,38.0330132667
1598070585000,36.5850693556
1598071485000,36.4428442
1598072385000,37.3114064444
1598073285000,36.6066335333
1598074185000,37.7157932
1598075085000,37.0846986667
1598075985000,38.3490729556
1598076885000,38.6352601111
1598077785000,37.7689043111
1598078685000,37.2635816889
1598079585000,36.4087500889
1598080485000,37.0619125111
1598081385000,35.4025070889
1598082285000,36.2367834444
1598083185000,36.0178724889
1598084085000,37.2437103556
1598084985000,36.8339729778
1598085885000,36.1305324667
1598086785000,36.2988415111
1598087685000,36.9673691556
1598088585000,36.4258392
1598089485000,36.5739830889
1598090385000,35.8933168222
1598091285000,36.1578130667
1598092185000,36.1262568667
1598093085000,36.4220785556
1598093985000,36.1592970222
1598094885000,37.0721560222
1598095785000,35.7324194222
1598096685000,36.5589011556
1598097585000,36.0504449333
1598098485000,36.9805090444
1598099385000,36.6288995333
1598100285000,36.4699302
1598101185000,36.5506704667
1598102085000,37.2530196667
1598102985000,36.6275140667
1598103885000,36.3535983111
1598104785000,36.5535042222
1598105685000,37.2848326889
1598106585000,36.6681347111
1598107485000,36.3309198222
1598108385000,36.8131380222
1598109285000,37.7578202222
1598110185000,36.1733545778
1598111085000,36.4329997556
1598111985000,36.2880488
1598112885000,37.9210624
1598113785000,37.1457245778
1598114685000,37.1865319333
1598115585000,36.7810697333
1598116485000,36.9447519333
1598117385000,36.1659084444
1598118285000,36.2234955556
1598119185000,35.851124
1598120085000,36.4372748222
1598120985000,36.5684843556
1598121885000,36.0942627778
1598122785000,35.5634835556
1598123685000,37.0077626
1598124585000,36.1178562222
1598125485000,35.7213684444
1598126385000,35.4814352889
1598127285000,36.4422113778
1598128185000,35.6388461556
1598129085000,34.8839485111
1598129985000,35.2755881111
1598130885000,36.4533155556
1598131785000,35.9295220444
1598132685000,36.0198564889
1598133585000,35.8786335556
1598134485000,36.7306310667
1598135385000,35.4162522667
1598136285000,35.9739607333
1598137185000,35.9986491556
1598138085000,36.6250779333
1598138985000,35.8650398889
1598139885000,35.2694943556
1598140785000,36.5273678667
1598141685000,34.2259522667
1598142585000,33.7075157556
1598143485000,34.8598724889
1598144385000,33.7349833333
1598145285000,34.3796703111
1598146185000,35.0996632
1598147085000,33.8977229778
1598147985000,32.6728567556
1598148886000,36.4358759111
1598149786000,35.7676215111
1598150686000,36.1908393111
1598151586000,35.7382036444
1598152486000,37.0655084889
1598153386000,36.4636683333
1598154286000,36.5529499556
1598155186000,36.6047662889
1598156086000,37.0195916444
1598156986000,36.5533062
1598157886000,36.7085058889
1598158786000,35.7408017778
1598159686000,35.8427906667
1598160586000,35.5855346222
1598161486000,34.9231032667
1598162386000,35.7347844222
1598163286000,37.2500598889
1598164186000,36.5507144889
1598165086000,37.1109395556
1598165986000,36.8114227778
1598166886000,37.2466397778
1598167786000,36.7747631778
1598168686000,36.8470228
1598169586000,37.0898025333
1598170486000,37.5142948889
1598171386000,37.0030904
1598172286000,37.5471002
1598173186000,37.011664
1598174086000,38.2487158
1598174986000,36.7680390889
1598175886000,37.6131265778
1598176786000,37.3550486222
1598177686000,38.7355866444
1598178586000,38.1330072222
1598179486000,38.2509315778
1598180386000,37.7916545556
1598181286000,39.4519064
1598182186000,37.4377736444
1598183086000,37.8560088889
1598183986000,37.5809809111
1598184886000,37.6589316222
1598185786000,37.1869700444
1598186686000,37.7167203778
1598187586000,37.5878801333
1598188486000,38.4938500222
